file,directory,status,entity_id
"Marco-Rubio-2026-278ANNU.pdf","data/raw_278e",ok,2706.7fba6ecf234b96bd13b1228343dbfc3e49826412
"McMahon, Linda  final278.pdf","data/raw_278e",ok,2707.fc5f094dfa20f52d12f95ac721ef66e1e680584b
"McMaster, Sean  AMENDED final278.pdf","data/raw_278e",ok,2708.228266ad043891de5da38b85646a6b9985768ed8
"Miran, Stephen I.  AMENDED final278.pdf","data/raw_278e",ok,2709.f8e050432bef366cd625c413a2b6b0fcce538ecf
"Miran, Stephen I.  final278.pdf","data/raw_278e",ok,2710.c25b61a3e607cd9759321436cbcc202afb9d9f14
"Mody, Arjun  final278.pdf","data/raw_278e",ok,2711.25a969e4c50afcf14745e61b5e73bcaa01a3829d
"Noem, Kristi  final278.pdf","data/raw_278e",ok,2712.b9cfd63265c84542de2a3e84b4b4c59536bc8c58
"Phelan, Christopher  final278.pdf","data/raw_278e",ok,2713.36603db43b9a1c843181c9354c64746fa96ee1a0
"Phelan, John  final278.pdf","data/raw_278e",ok,2714.c81d858574dd2ba3c081a0ad239410517bdb7ae2
"Sonderling, Keith  final278.pdf","data/raw_278e",ok,2715.ac771d87bfb634e207db99c36c0684037b355482
"Stacey-Dixon-2022-278.pdf","data/raw_278e",ok,2716.705b9882a81ac13882f682652bfc38aebe098d8f
"Stacey-Dixon-2023-278.pdf","data/raw_278e",ok,2717.73a3f0d68bb774bab04e8ce1f327bf1558adf7fa
"Stacey-Dixon-2024-278.pdf","data/raw_278e",ok,2718.20e418be7f0bb91ac87793efbeaebcc8f956212d
"Turner, Eric Scott  final278.pdf","data/raw_278e",ok,2719.6092ba0c099572f839411323ba759702245f5dc8
"Vaden, Stephen Alexander  final278.pdf","data/raw_278e",ok,2720.aa292aee1308636776449fe8db4c5c01fec05852
"Wright, Christopher Allen  final278.pdf","data/raw_278e",ok,2721.1fee3c258a50d21a8b0ff643988bf1090ec66457
"Zeldin, Lee  final278.pdf","data/raw_278e",ok,2722.8245b8a616f8a0151c734ea987b2c2c77d8086cf
"Arjun-Mody-02.27.2026-278T.pdf","data/raw_pdfs",ok,2579.211f5caf3078fabec694c79e7a863401fa1c772f
"Bryan-Bedford-02.27.2026-278T.pdf","data/raw_pdfs",ok,2580.3c8ae2523a9e86d8e8bfd6d1fcf213d3e08deb98
"Bryan-Bedford-09.02.2025-278T.pdf","data/raw_pdfs",ok,2581.43c397c3fd8b3e4a51830567a8b71a98d6245822
"Bryan-Bedford-10.07.2025-278T.pdf","data/raw_pdfs",ok,2582.9d3cb69d9bac62d45f09dde5fab06f98b6ffb0d0
"Bryan-Bedford-11.03.2025-278T.pdf","data/raw_pdfs",ok,2583.2f920d02b9c8d4f66083a0c3a2726b1470d16f90
"Christopher-A-Wright-01.13.2026-278T.pdf","data/raw_pdfs",ok,2584.4867ae214e33d85ced70f0c4b9d8667700f85967
"Christopher-A-Wright-03.19.2025-278T.pdf","data/raw_pdfs",ok,2585.afeaf9c8f685b24f6c968028b51e7002107a7b09
"Christopher-A-Wright-04.29.2025-278T.pdf","data/raw_pdfs",ok,2586.16334956566eb0a271d2d1f215b31d86e44cd833
"Christopher-A-Wright-07.01.2025-278T.pdf","data/raw_pdfs",ok,2587.0048fdf47940edd03e80ecf625827b42140f769d
"Christopher-Lundau-05.22.2025-278T.pdf","data/raw_pdfs",ok,2588.4372aa86a84bb27b2f4836f8c9dd58d17647e514
"Donald J. Trump 10.17.2025 278-T.pdf","data/raw_pdfs",ok,2589.63f8baee18233f23d19bd8ca95cc152e831b4892
"Donald J. Trump 10.20.2025 278-T (2).pdf","data/raw_pdfs",ok,2590.d82fb521fd112f053e1260470fbb8b947617d1f6
