txn_id,official,ticker,date,type,abn_5,timed_5,abn_30,timed_30,abn_90,timed_90
1,"Mody, Arjun",A,2026-01-30,sale,-0.02995051225322376,0.02995051225322376,-0.10906787566357246,0.10906787566357246,-0.17615779256936281,0.17615779256936281
3,"Mody, Arjun",AAPL,2026-01-30,sale,0.07378679050141113,-0.07378679050141113,0.029227038658309668,-0.029227038658309668,0.005316512209228685,-0.005316512209228685
4,"Mody, Arjun",AAPL,2026-01-30,sale,0.07378679050141113,-0.07378679050141113,0.029227038658309668,-0.029227038658309668,0.005316512209228685,-0.005316512209228685
5,"Mody, Arjun",ABBV,2026-01-30,sale,0.003834188428671892,-0.003834188428671892,0.05852444684777758,-0.05852444684777758,-0.08596526339723187,0.08596526339723187
7,"Mody, Arjun",ABT,2026-01-30,sale,0.015949087198276146,-0.015949087198276146,0.05217705048515031,-0.05217705048515031,-0.2055466344700443,0.2055466344700443
8,"Mody, Arjun",ACN,2026-01-30,sale,-0.08536520604941067,0.08536520604941067,-0.210818824338302,0.210818824338302,-0.3578028229386554,0.3578028229386554
9,"Mody, Arjun",ADI,2026-01-30,sale,0.03273449743100065,-0.03273449743100065,0.1416667485542652,-0.1416667485542652,0.2565838782008598,-0.2565838782008598
10,"Mody, Arjun",ADSK,2026-01-30,sale,-0.047362973104525086,0.047362973104525086,-0.015372496644325162,0.015372496644325162,-0.10416691332908001,0.10416691332908001
11,"Mody, Arjun",AEP,2026-01-30,sale,0.010466568693564104,-0.010466568693564104,0.12966694253939937,-0.12966694253939937,0.11232530094614979,-0.11232530094614979
12,"Mody, Arjun",AIG,2026-01-30,sale,0.02652361383520785,-0.02652361383520785,0.0914117479213471,-0.0914117479213471,-0.03658337087428776,0.03658337087428776
14,"Mody, Arjun",ALL,2026-01-30,sale,0.04496815575944191,-0.04496815575944191,0.082687784936755,-0.082687784936755,0.05593074282418353,-0.05593074282418353
15,"Mody, Arjun",AMAT,2026-01-30,sale,0.0025405333553079057,-0.0025405333553079057,0.16420940010374896,-0.16420940010374896,0.18402694814203469,-0.18402694814203469
16,"Mody, Arjun",AMD,2026-01-30,sale,-0.1175522959548655,0.1175522959548655,-0.15290683414866613,0.15290683414866613,0.45603692092825643,-0.45603692092825643
18,"Mody, Arjun",AMZN,2026-01-30,sale,-0.11915228894930485,0.11915228894930485,-0.12109016167993669,0.12109016167993669,0.06623986958612349,-0.06623986958612349
19,"Mody, Arjun",AMZN,2026-01-30,sale,-0.11915228894930485,0.11915228894930485,-0.12109016167993669,0.12109016167993669,0.06623986958612349,-0.06623986958612349
20,"Mody, Arjun",AMZN,2026-01-30,sale,-0.11915228894930485,0.11915228894930485,-0.12109016167993669,0.12109016167993669,0.06623986958612349,-0.06623986958612349
21,"Mody, Arjun",AMZN,2026-01-30,sale,-0.11915228894930485,0.11915228894930485,-0.12109016167993669,0.12109016167993669,0.06623986958612349,-0.06623986958612349
24,"Mody, Arjun",AVGO,2026-01-30,sale,0.006840891928269643,-0.006840891928269643,-0.02959146021878034,0.02959146021878034,0.22121158445998335,-0.22121158445998335
25,"Mody, Arjun",AVGO,2026-01-30,sale,0.006840891928269643,-0.006840891928269643,-0.02959146021878034,0.02959146021878034,0.22121158445998335,-0.22121158445998335
27,"Mody, Arjun",AXP,2026-01-30,sale,0.021770756361652488,-0.021770756361652488,-0.11896276138267181,0.11896276138267181,-0.12119489931529492,0.12119489931529492
29,"Mody, Arjun",BA,2026-01-30,sale,0.04178488810573722,-0.04178488810573722,-0.008950645296539439,0.008950645296539439,-0.06147416759982616,0.06147416759982616
32,"Mody, Arjun",BDX,2026-01-30,sale,0.03409167943166813,-0.03409167943166813,0.11167016044967182,-0.11167016044967182,-0.10377416634558023,0.10377416634558023
36,"Mody, Arjun",BR,2026-01-30,sale,-0.07516334947768455,0.07516334947768455,-0.04574958238403637,0.04574958238403637,-0.255924465861164,0.255924465861164
46,"Mody, Arjun",CHTR,2026-01-30,sale,0.12333653359518393,-0.12333653359518393,0.13751746304708978,-0.13751746304708978,-0.24007807790044344,0.24007807790044344
48,"Mody, Arjun",CL,2026-01-30,sale,0.047581717142092694,-0.047581717142092694,0.08571700271639149,-0.08571700271639149,-0.09013376939820883,0.09013376939820883
49,"Mody, Arjun",CMCSA,2026-01-30,sale,0.05640473903493115,-0.05640473903493115,0.04404465343637465,-0.04404465343637465,-0.12193113320931637,0.12193113320931637
53,"Mody, Arjun",COP,2026-01-30,sale,0.03447510018972344,-0.03447510018972344,0.15132062253713163,-0.15132062253713163,0.17473796471684455,-0.17473796471684455
54,"Mody, Arjun",CPRT,2026-01-30,sale,-0.0034705103133532145,0.0034705103133532145,-0.04786063507478833,0.04786063507478833,-0.2254882604938292,0.2254882604938292
55,"Mody, Arjun",CRM,2026-01-30,sale,-0.09668765983966898,0.09668765983966898,-0.0830235749767616,0.0830235749767616,-0.20777653320945133,0.20777653320945133
56,"Mody, Arjun",CSGP,2026-01-30,sale,-0.18048813486844095,0.18048813486844095,-0.257450225225331,0.257450225225331,-0.4786431731577675,0.4786431731577675
58,"Mody, Arjun",CTAS,2026-01-30,sale,0.025358591559544452,-0.025358591559544452,0.0638474734977098,-0.0638474734977098,-0.1264597643730614,0.1264597643730614
59,"Mody, Arjun",CVX,2026-01-30,sale,0.02433636820551799,-0.02433636820551799,0.09035487440044287,-0.09035487440044287,0.062046678538738576,-0.062046678538738576
60,"Mody, Arjun",CVX,2026-01-30,sale,0.02433636820551799,-0.02433636820551799,0.09035487440044287,-0.09035487440044287,0.062046678538738576,-0.062046678538738576
63,"Mody, Arjun",DHR,2026-01-30,sale,-0.008465243208727435,0.008465243208727435,-0.05080977151504362,0.05080977151504362,-0.2221307906275397,0.2221307906275397
64,"Mody, Arjun",DHR,2026-01-30,sale,-0.008465243208727435,0.008465243208727435,-0.05080977151504362,0.05080977151504362,-0.2221307906275397,0.2221307906275397
67,"Mody, Arjun",DIS,2026-01-30,sale,-0.034396692042758414,0.034396692042758414,-0.06701040095766941,0.06701040095766941,-0.12163793729816064,0.12163793729816064
71,"Mody, Arjun",DUK,2026-01-30,sale,0.00615367108680398,-0.00615367108680398,0.1020303696457111,-0.1020303696457111,0.03525821540453511,-0.03525821540453511
72,"Mody, Arjun",EBAY,2026-01-30,sale,-0.04924407302780598,0.04924407302780598,-0.018670355023998053,0.018670355023998053,0.09678523888038293,-0.09678523888038293
73,"Mody, Arjun",EFX,2026-01-30,sale,-0.02674824805885867,0.02674824805885867,0.040997816570098045,-0.040997816570098045,-0.17541957246323603,0.17541957246323603
74,"Mody, Arjun",ELV,2026-01-30,sale,-0.017601233913837944,0.017601233913837944,-0.1413692203058241,0.1413692203058241,0.05404131943980506,-0.05404131943980506
79,"Mody, Arjun",EXC,2026-01-30,sale,-0.008098170880906252,0.008098170880906252,0.11551521057625236,-0.11551521057625236,-0.005592347519748797,0.005592347519748797
83,"Mody, Arjun",FICO,2026-01-30,sale,-0.04737353124647414,0.04737353124647414,-0.029941931404368516,0.029941931404368516,-0.34087365920219936,0.34087365920219936
89,"Mody, Arjun",GDDY,2026-01-30,sale,-0.03087833389009864,0.03087833389009864,-0.11428540742907112,0.11428540742907112,-0.17799710616876518,0.17799710616876518
92,"Mody, Arjun",GOOG,2026-01-30,sale,-0.04362847277170778,0.04362847277170778,-0.08695026124362892,0.08695026124362892,0.0876183016615606,-0.0876183016615606
93,"Mody, Arjun",GOOG,2026-01-30,sale,-0.04362847277170778,0.04362847277170778,-0.08695026124362892,0.08695026124362892,0.0876183016615606,-0.0876183016615606
94,"Mody, Arjun",GOOG,2026-01-30,sale,-0.04362847277170778,0.04362847277170778,-0.08695026124362892,0.08695026124362892,0.0876183016615606,-0.0876183016615606
95,"Mody, Arjun",GOOG,2026-01-30,sale,-0.04362847277170778,0.04362847277170778,-0.08695026124362892,0.08695026124362892,0.0876183016615606,-0.0876183016615606
101,"Mody, Arjun",HON,2026-01-30,sale,0.04968292431104793,-0.04968292431104793,0.10368063644976389,-0.10368063644976389,-0.09470347164199755,0.09470347164199755
102,"Mody, Arjun",ICE,2026-01-30,sale,-0.02555522493258744,0.02555522493258744,-0.04371133339019595,0.04371133339019595,-0.12875527328494496,0.12875527328494496
103,"Mody, Arjun",IDXX,2026-01-30,sale,-0.03660476251720879,0.03660476251720879,-0.042275241732464,0.042275241732464,-0.20496680365745057,0.20496680365745057
