ticker,awarding_agency,total_award_amount,n_awards
WFC,Department of Veterans Affairs,1561972.5,1
WFC,General Services Administration,1441977.91,9
WFC,Securities and Exchange Commission,743324.78,3
WM,Department of Defense,42940484.56,12
WMS,Department of Agriculture,30613.9,2
WMS,Department of Defense,47138.55,3
WMS,Department of Homeland Security,100431.27,2
WMS,Department of the Interior,138972.08,8
WST,Department of Agriculture,10194.91,1
WST,Department of Defense,128519.83,2
WST,Department of Health and Human Services,22215.44,1
WTW,Department of State,4000138.12,3
WTW,Department of Transportation,635353.4,1
WTW,Department of the Interior,345339.7,1
WTW,Department of the Treasury,6750421.1,7
WTW,General Services Administration,2023852.1,2
WTW,Pension Benefit Guaranty Corporation,7308214.5,1
WY,Department of Defense,229312.0,2
WY,Department of Justice,1313882.0,12
WY,Department of Transportation,120000.0,1
XOM,Department of Defense,2977519402.45,15
ZBRA,Department of Defense,329319.5,5
ZBRA,Department of State,47726.34,1
ZBRA,Department of Veterans Affairs,46297.4,1
ZBRA,Department of the Interior,71691.2,1
ZBRA,General Services Administration,772997.18,1
ZS,Department of Defense,200617.06,1
ZTS,Department of Agriculture,21341027.4,15
