ticker,awarding_agency,total_award_amount,n_awards
BX,Department of Homeland Security,128284642.96,11
BX,Pension Benefit Guaranty Corporation,8775991.23,1
CAT,Department of Defense,876921164.59,15
CB,Department of Agriculture,18459.03,1
CB,Department of Commerce,9725.0,1
CB,Department of Defense,210067.94,2
CB,Department of Veterans Affairs,107876.54,4
CBRE,Agency for International Development,2492341.63,1
CBRE,Department of Agriculture,7090000.0,2
CBRE,Department of Veterans Affairs,3176002.3,1
CBRE,General Services Administration,24227096.54,3
CBRE,Millennium Challenge Corporation,3284380.48,1
CDNS,Department of Defense,31546070.0,15
CDW,Department of Commerce,561166063.35,1
CDW,Department of Defense,56339030.36,1
CDW,Department of Health and Human Services,128340951.68,2
CDW,Department of Justice,288108150.67,5
CDW,Department of State,619620961.11,4
CDW,Department of Transportation,88989848.0,1
CELG-RI,Department of Veterans Affairs,319806.06,15
CF,Department of Defense,98671452.53,15
CG,Department of Defense,12502244.2,15
CHRW,Department of Health and Human Services,700000.0,1
CHRW,Department of Homeland Security,31418.0,1
CHRW,Department of Justice,13853.4,3
CHRW,Department of Veterans Affairs,716.63,1
CHRW,National Transportation Safety Board,8875.0,1
CI,Department of Defense,8984486.03,5
CI,Department of State,533833.34,5
CIA,Department of Defense,73998274.97,6
CL,Department of Defense,106157163.85,15
CMCSA,Consumer Product Safety Commission,1011000.0,1
CMCSA,Department of Defense,5622490.0,6
CMCSA,Department of Health and Human Services,1495111.1,2
CMCSA,Department of Homeland Security,1866005.19,1
CMCSA,Department of Justice,1143702.08,1
CMCSA,Nuclear Regulatory Commission,773785.37,1
CMCSA,Smithsonian Institution,1713880.0,2
CME,Department of Defense,3627180.73,5
CMI,Department of Defense,486103.77,3
CMI,Department of Health and Human Services,736272.72,1
CMI,Department of Homeland Security,163783.41,2
CMI,Department of Justice,57766.67,1
CMI,Department of State,255481.11,4
CMI,Department of Veterans Affairs,262216.54,4
CNP,Department of Defense,10826.42,1
CNP,Department of Justice,962686.2,12
CNP,General Services Administration,7698.61,2
COIN,Department of Justice,4416680.0,1
COP,Department of Defense,1516822013.76,8
COP,Department of the Interior,42786.79,5
COST,Department of Agriculture,16591.27,2
COST,Department of Commerce,12174.93,1
COST,Department of Defense,132171.15,8
COST,Department of Homeland Security,29932.25,2
COST,Department of Justice,8824.47,1
COST,Department of State,8499.96,1
CRL,Department of Defense,13706881.7,1
CRL,Department of Health and Human Services,451697891.47,14
CRM,Agency for International Development,48836.1,2
CRM,Department of Agriculture,14363.7,1
CRM,Department of Defense,31200.0,1
CRM,Department of Education,4250.0,1
CRM,Department of State,1680.0,1
CRWD,Department of Justice,152500.0,2
CRWD,Department of State,43200.0,2
CSCO,Department of Defense,1468685817.06,15
CSGP,Department of Defense,126332.88,1
CSGP,Department of Homeland Security,218699.53,1
CSGP,Department of the Treasury,3451802.16,6
CSGP,General Services Administration,3367332.83,7
CTAS,Department of Defense,258195.15,1
CTAS,Department of Veterans Affairs,6317127.29,11
CTAS,Department of the Interior,1227176.13,3
CVX,Department of Defense,2287753532.07,15
D,Department of Defense,34021151.86,5
D,Department of Justice,14320779.66,1
D,Department of State,6545012.99,1
D,Department of Transportation,1520908.0,1
D,Department of Veterans Affairs,1701586.0,1
DAL,Department of Defense,41922707.25,14
DAR,Department of Agriculture,4898425.0,15
DDOG,Department of Health and Human Services,27000.0,2
DDOG,National Aeronautics and Space Administration,0.0,1
DE,Department of Defense,335028174.04,15
DHR,Department of Defense,25429017.59,1
DOCS,Department of Health and Human Services,468584.0,9
DOCS,Department of Veterans Affairs,396786.25,6
DOW,Department of Defense,11466720.0,1
DOW,Department of Energy,44281882.5,1
DT,Department of Commerce,17329449.05,1
DT,Department of Health and Human Services,459642.6,1
DT,Social Security Administration,14278442.06,13
DTE,Department of Veterans Affairs,29437962.92,13
DTE,General Services Administration,9969270.4,2
DUK,Department of Commerce,13333908.29,1
DUK,Department of Defense,640178499.23,10
DUK,Environmental Protection Agency,105357743.51,2
DUK,General Services Administration,6720000.0,1
DVLT,Department of Veterans Affairs,20000.0,1
EBBGF,Department of Defense,975779.03,1
EFX,Department of Agriculture,38000000.0,1
EFX,Department of Health and Human Services,83503100.73,1
EFX,Office of Personnel Management,27059651.27,1
EFX,Social Security Administration,245515417.26,11
ENB,Department of Defense,975779.03,1
ENSG,Department of Defense,83464457.26,3
ENTG,Department of Commerce,59971.22,3
ENTG,Department of Defense,28184.5,2
ENTG,Department of Health and Human Services,38323.0,1
EQH,Department of Defense,13909817.28,13
EQH,Department of Energy,2898279.36,1
EQH,Department of Health and Human Services,1537441.0,1
EQR,Department of Defense,108522.0,3
EQR,Department of Health and Human Services,11207.76,1
EQR,Department of Justice,24977.0,1
EQR,Department of Veterans Affairs,1096025.0,1
EQR,Department of the Interior,95914.0,7
EQR,General Services Administration,125629.0,2
EQT,Department of Energy,689757.07,3
EQT,Department of Health and Human Services,2194922.26,6
EQT,Department of Veterans Affairs,473859.73,2
ETN,Department of Defense,108100306.9,8
ETN,Department of Transportation,59181281.07,3
ETN,Department of Veterans Affairs,19401536.45,1
ETN,General Services Administration,16099754.4,1
ETR,Department of Defense,218395481.03,6
ETR,Department of Justice,18875000.0,4
ETR,Department of Transportation,7723728.62,1
ETR,Department of Veterans Affairs,5461678.0,1
ETR,General Services Administration,31949354.48,3
EVR,Department of Homeland Security,59598.89,2
EXPD,Department of Health and Human Services,42334.0,3
EXPO,Department of Defense,95988725.29,13
EXPO,Department of State,21088393.78,2
FANUY,Department of Commerce,115030.0,1
FANUY,Department of Defense,2142914.7,11
FANUY,General Services Administration,114181.6,1
FANUY,National Aeronautics and Space Administration,130163.8,2
FAST,Department of Defense,98815977.35,15
FCX,Department of the Interior,79400.0,1
FICO,Department of Education,4067774.9,7
FISV,Department of Agriculture,25926118.21,13
FISV,Department of Commerce,1270066.0,1
FISV,Department of Education,960300.96,1
FITB,Department of Agriculture,12402.0,2
FITB,Department of Defense,36760.0,2
FITB,Department of Health and Human Services,3500.34,1
FITB,Department of Homeland Security,19510.48,2
FITB,Department of Transportation,6077.74,1
FITB,Department of Veterans Affairs,20842.0,3
FITB,Department of the Treasury,6294.25,2
FITB,General Services Administration,20511.34,2
FSLR,Department of Defense,500.0,1
FTNT,Department of Defense,7480.0,1
FUPBY,Department of Defense,792648.56,7
FUPBY,Department of Homeland Security,220266.0,2
FUPBY,Department of Transportation,1595000.0,3
FUPBY,Social Security Administration,159350.0,2
GD,Department of Defense,2900851790.88,2
GD,Department of State,1585600444.54,1
GE,Department of Defense,107224747.16,15
GEHC,Department of Defense,148436069.28,4
GEHC,Department of Veterans Affairs,53560225.89,11
GEV,Department of Defense,43615369.65,13
GEV,Department of the Interior,1065752.62,2
GFL,Department of Agriculture,5690.0,1
GFL,Department of Defense,9000.0,1
GFL,Department of Homeland Security,14569.66,4
GFL,Department of the Interior,35018.95,3
GS,Pension Benefit Guaranty Corporation,58136445.62,3
GS-PD,Pension Benefit Guaranty Corporation,58136445.62,3
HAYW,Department of Defense,3048005.0,2
HAYW,Department of Homeland Security,894089.9,1
HAYW,Department of Transportation,164427.84,1
HAYW,Department of Veterans Affairs,1292040.95,7
HAYW,Department of the Interior,412050.0,2
HAYW,National Aeronautics and Space Administration,158637.5,1
HD,Department of Defense,1725484.77,14
HD,General Services Administration,115686.98,1
HEINY,Department of Defense,17853.0,2
HLI,Department of Energy,2535845.41,2
HLI,Securities and Exchange Commission,1290629.75,5
HLNCF,Department of Health and Human Services,66674.89,2
HLNCF,Department of Veterans Affairs,389100.74,1
HLT,Department of Defense,137144.0,1
HLT,Department of Veterans Affairs,338249.69,2
HNGKY,Department of State,3020.0,1
HON,Department of Defense,193525226.76,15
HSDT,Department of Defense,1003565.66,4
HSDT,Department of Homeland Security,19200.0,1
